md5,path,filename,bytes,relpath,status,batch,sourcefile,sourceline,timestamp
f4f8b5d33eb8655c03ef9d6b06d9d19b,/libr/archives/paperexport/Historic Maryland Newspaper Project - batch_mdu_alvarez Date 9222015/Newspaper/Archive/batch_mdu_alvarez/sn84026688/0029602997A/1902042401/0155.pdf,0155.pdf,3823633,sn84026688/0029602997A/1902042401/0155.pdf,Transfer,alvarez,alvarez.csv,1,
e8f315bcbf45a0241932f48f308ae3c6,/libr/archives/paperexport/Historic Maryland Newspaper Project - batch_mdu_alvarez Date 9222015/Newspaper/Archive/batch_mdu_alvarez/sn84026688/0029602997A/1902042401/0156.pdf,0156.pdf,4390345,sn84026688/0029602997A/1902042401/0156.pdf,Transfer,alvarez,alvarez.csv,2,
c422fbdcf9fc757c76ce59d9c4cca0d0,/libr/archives/paperexport/Historic Maryland Newspaper Project - batch_mdu_alvarez Date 9222015/Newspaper/Archive/batch_mdu_alvarez/sn84026688/0029602997A/1902042401/0153.tif,0153.tif,45269417,sn84026688/0029602997A/1902042401/0153.tif,Transfer,alvarez,alvarez.csv,3,
683f10bc30b342f36e1824a666c221dd,/libr/archives/paperexport/Historic Maryland Newspaper Project - batch_mdu_alvarez Date 9222015/Newspaper/Archive/batch_mdu_alvarez/sn84026688/0029602997A/1902042401/0154.tif,0154.tif,45269417,sn84026688/0029602997A/1902042401/0154.tif,Transfer,alvarez,alvarez.csv,4,
48159721b4a1e8618dcd4fbcf90df08b,/libr/archives/paperexport/Historic Maryland Newspaper Project - batch_mdu_alvarez Date 9222015/Newspaper/Archive/batch_mdu_alvarez/sn84026688/0029602997A/1902042401/1902042401.xml,1902042401.xml,8866,sn84026688/0029602997A/1902042401/1902042401.xml,Transfer,alvarez,alvarez.csv,5,
f8db4aede5aaa4893fcdb0654797760a,/libr/archives/paperexport/Historic Maryland Newspaper Project - batch_mdu_alvarez Date 9222015/Newspaper/Archive/batch_mdu_alvarez/sn84026688/0029602997A/1902042401/0156.tif,0156.tif,45269417,sn84026688/0029602997A/1902042401/0156.tif,Transfer,alvarez,alvarez.csv,6,
7a1aede2c0f9cb59c1916daa801716c1,/libr/archives/paperexport/Historic Maryland Newspaper Project - batch_mdu_alvarez Date 9222015/Newspaper/Archive/batch_mdu_alvarez/sn84026688/0029602997A/1902042401/0153.jp2,0153.jp2,5636771,sn84026688/0029602997A/1902042401/0153.jp2,Transfer,alvarez,alvarez.csv,7,
0e08376f18562ad578da1184d143e719,/libr/archives/paperexport/Historic Maryland Newspaper Project - batch_mdu_alvarez Date 9222015/Newspaper/Archive/batch_mdu_alvarez/sn84026688/0029602997A/1902042401/0153.xml,0153.xml,1310312,sn84026688/0029602997A/1902042401/0153.xml,Transfer,alvarez,alvarez.csv,8,
4593b79f6964b5588f41b5cf44ac98b1,/libr/archives/paperexport/Historic Maryland Newspaper Project - batch_mdu_alvarez Date 9222015/Newspaper/Archive/batch_mdu_alvarez/sn84026688/0029602997A/1902042401/1902042401_1.xml,1902042401_1.xml,26133,sn84026688/0029602997A/1902042401/1902042401_1.xml,Transfer,alvarez,alvarez.csv,9,
140ee0209a72a7f15cba42d471edd261,/libr/archives/paperexport/Historic Maryland Newspaper Project - batch_mdu_alvarez Date 9222015/Newspaper/Archive/batch_mdu_alvarez/sn84026688/0029602997A/1902042401/0155.xml,0155.xml,947282,sn84026688/0029602997A/1902042401/0155.xml,Transfer,alvarez,alvarez.csv,10,
ed11b0c4acc0bab36696b71d5c96efdd,/libr/archives/paperexport/Historic Maryland Newspaper Project - batch_mdu_alvarez Date 9222015/Newspaper/Archive/batch_mdu_alvarez/sn84026688/0029602997A/1902042401/0155.tif,0155.tif,45269417,sn84026688/0029602997A/1902042401/0155.tif,Transfer,alvarez,alvarez.csv,11,
5e3b1a9625d3dbcd24ac27adee00ebe2,/libr/archives/paperexport/Historic Maryland Newspaper Project - batch_mdu_alvarez Date 9222015/Newspaper/Archive/batch_mdu_alvarez/sn84026688/0029602997A/1902042401/0154.pdf,0154.pdf,4061870,sn84026688/0029602997A/1902042401/0154.pdf,Transfer,alvarez,alvarez.csv,12,
bcdf0d5e76751f785770923bad1359f7,/libr/archives/paperexport/Historic Maryland Newspaper Project - batch_mdu_alvarez Date 9222015/Newspaper/Archive/batch_mdu_alvarez/sn84026688/0029602997A/1902042401/0155.jp2,0155.jp2,5650814,sn84026688/0029602997A/1902042401/0155.jp2,Transfer,alvarez,alvarez.csv,13,
f43018ef55d1c852200ec82ed890c595,/libr/archives/paperexport/Historic Maryland Newspaper Project - batch_mdu_alvarez Date 9222015/Newspaper/Archive/batch_mdu_alvarez/sn84026688/0029602997A/1902042401/0154.xml,0154.xml,997045,sn84026688/0029602997A/1902042401/0154.xml,Transfer,alvarez,alvarez.csv,14,
032052e356d97904dd056ad59216ab61,/libr/archives/paperexport/Historic Maryland Newspaper Project - batch_mdu_alvarez Date 9222015/Newspaper/Archive/batch_mdu_alvarez/sn84026688/0029602997A/1902042401/0156.xml,0156.xml,1264531,sn84026688/0029602997A/1902042401/0156.xml,Transfer,alvarez,alvarez.csv,15,
f3851e53c71634192172de2534281517,/libr/archives/paperexport/Historic Maryland Newspaper Project - batch_mdu_alvarez Date 9222015/Newspaper/Archive/batch_mdu_alvarez/sn84026688/0029602997A/1902042401/0153.pdf,0153.pdf,4199266,sn84026688/0029602997A/1902042401/0153.pdf,Transfer,alvarez,alvarez.csv,16,
029471df00703a35b1b4427cbde30410,/libr/archives/paperexport/Historic Maryland Newspaper Project - batch_mdu_alvarez Date 9222015/Newspaper/Archive/batch_mdu_alvarez/sn84026688/0029602997A/1902042401/0154.jp2,0154.jp2,5646451,sn84026688/0029602997A/1902042401/0154.jp2,Transfer,alvarez,alvarez.csv,17,
57db875fc1e838a32f80d7b366cc363d,/libr/archives/paperexport/Historic Maryland Newspaper Project - batch_mdu_alvarez Date 9222015/Newspaper/Archive/batch_mdu_alvarez/sn84026688/0029602997A/1902042401/0156.jp2,0156.jp2,5647890,sn84026688/0029602997A/1902042401/0156.jp2,Transfer,alvarez,alvarez.csv,18,
ce5c0979c1263ac8812d92c9f9cf548d,/libr/archives/paperexport/Historic Maryland Newspaper Project - batch_mdu_alvarez Date 9222015/Newspaper/Archive/batch_mdu_alvarez/sn84026688/0029602997A/1904060201/0601.jp2,0601.jp2,5788496,sn84026688/0029602997A/1904060201/0601.jp2,Transfer,alvarez,alvarez.csv,19,
56445b3bb660ad4a32c0cc558d03d9cc,/libr/archives/paperexport/Historic Maryland Newspaper Project - batch_mdu_alvarez Date 9222015/Newspaper/Archive/batch_mdu_alvarez/sn84026688/0029602997A/1904060201/0600.xml,0600.xml,892609,sn84026688/0029602997A/1904060201/0600.xml,Transfer,alvarez,alvarez.csv,20,
28a37b3b2bcb019808f0e35cd2cd9729,/libr/archives/paperexport/Historic Maryland Newspaper Project - batch_mdu_alvarez Date 9222015/Newspaper/Archive/batch_mdu_alvarez/sn84026688/0029602997A/1904060201/0601.tif,0601.tif,46366627,sn84026688/0029602997A/1904060201/0601.tif,Transfer,alvarez,alvarez.csv,21,
811b390ed71ee6107a6e0aebfa52f5d4,/libr/archives/paperexport/Historic Maryland Newspaper Project - batch_mdu_alvarez Date 9222015/Newspaper/Archive/batch_mdu_alvarez/sn84026688/0029602997A/1904060201/0601.xml,0601.xml,1251091,sn84026688/0029602997A/1904060201/0601.xml,Transfer,alvarez,alvarez.csv,22,
b0412c31ae5d87417d0634cc0ab0b8f5,/libr/archives/paperexport/Historic Maryland Newspaper Project - batch_mdu_alvarez Date 9222015/Newspaper/Archive/batch_mdu_alvarez/sn84026688/0029602997A/1904060201/0600.jp2,0600.jp2,5788961,sn84026688/0029602997A/1904060201/0600.jp2,Transfer,alvarez,alvarez.csv,23,
1cbf45cf893e1a1e53266f64d4ea132b,/libr/archives/paperexport/Historic Maryland Newspaper Project - batch_mdu_alvarez Date 9222015/Newspaper/Archive/batch_mdu_alvarez/sn84026688/0029602997A/1904060201/0600.pdf,0600.pdf,3217697,sn84026688/0029602997A/1904060201/0600.pdf,Transfer,alvarez,alvarez.csv,24,
790f06c0836ad26d2224301899405c63,/libr/archives/paperexport/Historic Maryland Newspaper Project - batch_mdu_alvarez Date 9222015/Newspaper/Archive/batch_mdu_alvarez/sn84026688/0029602997A/1904060201/0600.tif,0600.tif,46366627,sn84026688/0029602997A/1904060201/0600.tif,Transfer,alvarez,alvarez.csv,25,
92b28cd1f21654af9a2d4dff8fb3b876,/libr/archives/paperexport/Historic Maryland Newspaper Project - batch_mdu_alvarez Date 9222015/Newspaper/Archive/batch_mdu_alvarez/sn84026688/0029602997A/1904060201/0599.tif,0599.tif,46366627,sn84026688/0029602997A/1904060201/0599.tif,Transfer,alvarez,alvarez.csv,26,
75864616cee76d95fcd93cdf54b53ca0,/libr/archives/paperexport/Historic Maryland Newspaper Project - batch_mdu_alvarez Date 9222015/Newspaper/Archive/batch_mdu_alvarez/sn84026688/0029602997A/1904060201/0598.xml,0598.xml,1327422,sn84026688/0029602997A/1904060201/0598.xml,Transfer,alvarez,alvarez.csv,27,
c43a617cef0190c7cacee442f92cb186,/libr/archives/paperexport/Historic Maryland Newspaper Project - batch_mdu_alvarez Date 9222015/Newspaper/Archive/batch_mdu_alvarez/sn84026688/0029602997A/1904060201/0601.pdf,0601.pdf,3969146,sn84026688/0029602997A/1904060201/0601.pdf,Transfer,alvarez,alvarez.csv,28,
5cca2504ebf9a03f7c141f70afeeb17b,/libr/archives/paperexport/Historic Maryland Newspaper Project - batch_mdu_alvarez Date 9222015/Newspaper/Archive/batch_mdu_alvarez/sn84026688/0029602997A/1904060201/1904060201.xml,1904060201.xml,8867,sn84026688/0029602997A/1904060201/1904060201.xml,Transfer,alvarez,alvarez.csv,29,
b3bc06a3e07e061433b7d19105b4bcc7,/libr/archives/paperexport/Historic Maryland Newspaper Project - batch_mdu_alvarez Date 9222015/Newspaper/Archive/batch_mdu_alvarez/sn84026688/0029602997A/1904060201/1904060201_1.xml,1904060201_1.xml,26134,sn84026688/0029602997A/1904060201/1904060201_1.xml,Transfer,alvarez,alvarez.csv,30,
2760fb8b468a962d48455e7ca97028e2,/libr/archives/paperexport/Historic Maryland Newspaper Project - batch_mdu_alvarez Date 9222015/Newspaper/Archive/batch_mdu_alvarez/sn84026688/0029602997A/1904060201/0599.jp2,0599.jp2,5786616,sn84026688/0029602997A/1904060201/0599.jp2,Transfer,alvarez,alvarez.csv,31,
c6962517a2ae675cc9177b5702e329ba,/libr/archives/paperexport/Historic Maryland Newspaper Project - batch_mdu_alvarez Date 9222015/Newspaper/Archive/batch_mdu_alvarez/sn84026688/0029602997A/1904060201/0598.tif,0598.tif,46366627,sn84026688/0029602997A/1904060201/0598.tif,Transfer,alvarez,alvarez.csv,32,
